lake;site;name;Nlatitude;Elongitude;latitude;longitude
Ohrid;LO1;Kalishta;41,150431;20,651245;41° 9' 1.5516'';20° 39' 4.482''
Ohrid;LO2;Ohrid bay;41,111774;20,798303;41° 6' 42.3864'';20° 47' 53.8908''
Ohrid;LO3;Velidab;40,986694;20,798226;40° 59' 12.0984'';20° 47' 53.6136''
Ohrid;LO4;Trpejca;40,962516;20,783553;40° 57' 45.0576'';20° 47' 0.7908''
Ohrid;LO5;Tushemisht;40,906405;20,72499;40° 54' 23.058'';20° 43' 29.964''
Ohrid;LO6;Lini;41,067538;20,643287;41° 4' 3.1368'';20° 38' 35.8332''
Prespa;LP1;Stenje;40,942351;20,911546;40° 56' 32.4636'';20° 54' 41.5656''
Prespa;LP2;Konjsko;40,910866;20,990149;40° 54' 39.1176'';20° 59' 24.5364''
Prespa;LP3;Golomboh;40,858662;20,94684;40° 51' 31.1832'';20° 56' 48.624''
Prespa;LP4;Pustec;40,791542;20,913107;40° 47' 29.5512'';20° 54' 47.1852''
Prespa;LP5;Krani;40,953808;21,070651;40° 57' 13.7088'';21° 4' 14.3436''
Prespa;LP6;Sirhan;40,985485;20,920111;40° 59' 7.746'';20° 55' 12.3996''
Lura;LL1;Big Lake 1;41,7907027777778;20,1961805555556;41° 47' 26.53'';20° 11' 46.25''
Lura;LL2;Big Lake 2;41,7897666666667;20,1961805555556;41° 47' 23.16'';20° 11' 46.25''
Lura;LL3;Big Lake 3;41,7875833333333;20,1928888888889;41° 47' 15.3'';20° 11' 34.4''
Lura;LL4;Big Lake 4;41,7888888888889;20,1916388888889;41° 47' 20.0'';20° 11' 29.9''
Lura;LL5;Big Lake 5;41,7913611111111;20,1920555555556;41° 47' 28.9'';20° 11' 31.4''
Lura;LL6;Big Lake 6;41,7909722222222;20,1942777777778;41° 47' 27.5'';20° 11' 39.4''
Biogradsko;LB1;Camp;42,90045;19,5959111111111;42° 54' 1.62'';19° 35' 45.28''
Biogradsko;LB2;NW bay;42,9006277777778;19,5971583333333;42° 54' 2.26'';19° 35' 49.77''
Biogradsko;LB3;N bay;42,9000638888889;19,5989888888889;42° 54' 0.23'';19° 35' 56.36''
Biogradsko;LB4;NE bay;42,8986888888889;19,6003805555556;42° 53' 55.28'';19° 36' 1.37''
Biogradsko;LB5;SE bay;42,8978;19,5997083333333;42° 53' 52.08'';19° 35' 58.95''
Biogradsko;LB6;SW bay;42,898825;19,5975388888889;42° 53' 55.77'';19° 35' 51.14''
Crno;LC1;Mlinski potok;43,1476194444444;19,0879166666667;43° 8' 51.43'';19° 5' 16.50''
Crno;LC2;NE coast;43,1488472222222;19,0930583333333;43° 8' 55.85'';19° 5' 35.01''
Crno;LC3;Restorant;43,147075;19,0959777777778;43° 8' 49.47'';19° 5' 45.52''
Crno;LC4;Splav;43,1443166666667;19,0937472222222;43° 8' 39.54'';19° 5' 37.49''
Crno;LC5;NW bay - Malo j.;43,1446944444444;19,0852138888889;43° 8' 40.9'';19° 5' 6.77''
Crno;LC6;E coast - Malo j.;43,1428194444444;19,0910611111111;43° 8' 34.15'';19° 5' 27.82''
Sava;LS1;Markoni;44,7870130555556;20,41108;44° 47' 13.247'';20° 24' 39.888''
Sava;LS2;Zip line;44,78344;20,3937819444444;44° 47' 0.384'';20° 23' 37.615''
Sava;LS3;Plaža;44,7805480555556;20,384475;44° 46' 49.973'';20° 23' 4.110''
Sava;LS4;nudist beach;44,77828;20,372885;44° 46' 41.808'';20° 22' 22.386''
Sava;LS5;Režiser;44,7844530555556;20,38714;44° 47' 4.031'';20° 23' 13.704''
Sava;LS6;Pedaline;44,7875080555556;20,4016280555556;44° 47' 15.029'';20° 24' 5.861''
